1547.2,7,6,2,80,1,17.6,2,2,1,0,0,0,0,0,0,0,22.2442559584187
1560.8,6,5,6,100,-3,22,5,2,3,2,5,2,4,5,5,6,14.5061308206718
1556.8,6,5,6,80,-5,17.6,6,5,4,4,6,4,3,3,6,7,17.8722546124734
1564.4,10,9,4,110,-5,24.2,0,0,0,1,1,1,1,0,1,0,14.0771795249369
1542,7,6,2,80,1,17.6,0,0,0,2,0,0,1,0,0,2,26.8780576338177
1547.6,6,5,6,110,0,24.2,3,6,4,5,5,3,2,5,3,3,12.3769958867188
1548.4,7,6,2,110,-4,24.2,1,1,0,1,0,0,0,2,0,0,19.5494568885695
1554.8,6,5,6,110,-1,24.2,2,0,0,1,0,1,1,0,0,1,4.06015696501403
1562.8,6,5,6,120,-5,26.4,4,6,3,6,2,4,6,7,5,5,8.15684535525103
1557.6,6,5,6,120,0,26.4,2,5,5,3,4,5,3,3,5,4,14.5693030952075
1545.2,10,9,4,80,-6,17.6,1,0,2,0,0,0,1,0,1,0,16.907276827129
1562,6,5,6,90,3,19.8,1,0,1,1,1,0,2,0,0,0,21.7786219295804
1543.6,6,5,6,90,2,19.8,5,3,6,2,8,4,4,1,2,4,23.139117309009
1552.8,6,5,6,80,2,17.6,5,6,2,4,5,6,5,6,3,6,26.9234530928765
1561.2,6,5,6,120,3,26.4,5,3,5,6,5,5,6,6,3,4,14.9925361045248
1550.4,6,5,6,80,1,17.6,7,5,4,2,5,3,7,6,7,2,22.1799069861153
1530.4,6,5,6,100,-4,22,5,3,5,2,4,3,3,4,5,5,15.0864726017685
1536.4,7,6,2,100,-4,22,1,0,1,0,0,0,1,1,0,1,13.7019446951982
1529.6,6,5,6,80,-3,17.6,2,4,3,3,4,3,3,5,6,6,18.5383712013084
1560.8,6,5,6,80,2,17.6,3,6,4,5,5,3,2,5,3,3,24.0694154033255
1530.4,7,6,2,110,-6,24.2,0,0,2,0,0,0,2,0,0,1,9.06399773947997
1550.4,6,5,6,100,2,22,4,3,5,5,3,4,3,5,3,4,18.5504432426603
1532,7,6,2,120,-10,26.4,0,1,1,0,1,1,0,0,1,0,6.71248963190867
1532.4,6,5,6,100,-5,22,6,3,7,4,3,2,4,5,2,3,14.152406440739
1559.6,6,5,6,100,2,22,4,4,5,3,5,2,3,7,1,5,22.5488449811084
1561.2,6,5,6,120,2,26.4,0,0,1,0,1,0,2,1,1,0,5.83233467021392
1559.2,6,5,6,100,-10,22,5,2,3,2,5,2,4,5,5,6,9.77322859993322
1551.2,6,5,6,90,4,19.8,4,4,5,3,5,2,3,7,1,5,24.8063234195239
1556.4,7,6,2,100,-2,22,1,1,0,1,0,0,0,2,0,0,21.3547985245465
1563.2,6,5,6,120,-6,26.4,4,5,4,3,4,4,4,3,4,4,7.34004907215645
1554.4,6,5,6,90,-1,19.8,0,0,1,1,1,0,1,0,2,0,13.9056318356795
1562,6,5,6,110,1,24.2,3,6,5,4,4,5,0,4,3,5,17.645434132736
1560.4,6,5,6,120,-7,26.4,0,0,1,0,1,0,2,1,1,0,-1.38144024501961
1545.2,6,5,6,90,-2,19.8,8,8,5,5,4,4,4,2,3,5,20.9906805998684
1532,6,5,6,100,-10,22,2,2,4,6,6,4,6,2,3,4,8.94045605581715
1545.2,6,5,6,120,-5,26.4,0,1,1,3,0,0,1,0,0,0,12.8582221843658
1535.2,6,5,6,100,3,22,4,4,3,4,3,3,4,6,2,6,23.5458933484264
1531.2,6,5,6,110,-3,24.2,4,2,6,6,3,5,4,3,4,2,13.9614142882704
1540,7,6,2,110,4,24.2,0,1,0,0,1,1,0,2,0,0,22.7265661705783
1548.8,6,5,6,90,-8,19.8,5,3,5,2,4,3,3,4,5,5,13.4382388261849
1556,6,5,6,100,-5,22,5,4,5,6,2,3,7,4,5,7,18.4464158476065
1530.8,6,5,6,120,-6,26.4,3,4,4,5,4,2,3,5,4,5,5.86381769502322
1546,6,5,6,110,4,24.2,4,3,5,5,3,4,3,5,3,4,21.633851163229
1554,6,5,6,110,-5,24.2,3,3,5,5,3,6,8,3,7,5,11.2400715077782
1546.4,6,5,6,80,-7,17.6,3,4,5,3,4,3,4,4,4,5,15.0978994756881
1540,6,5,6,110,-5,24.2,5,2,3,2,5,2,4,5,5,6,11.6811154152812
1551.6,6,5,6,100,-9,22,4,6,3,6,2,4,6,7,5,5,6.67314694901566
1547.6,6,5,6,80,4,17.6,0,1,1,2,0,0,1,1,0,0,29.0146870217848
1546,7,6,2,90,1,19.8,0,1,0,0,1,1,0,2,0,0,25.5277616589079
1547.6,7,6,2,110,-8,24.2,0,1,0,0,1,1,0,2,0,0,9.83687805929474
1558.8,6,5,6,80,3,17.6,8,8,5,5,4,4,4,2,3,5,26.9023768804954
1534,6,5,6,110,-4,24.2,6,3,7,4,3,2,4,5,2,3,9.57657337907845
1540,6,5,6,90,-7,19.8,5,5,6,5,3,4,7,5,5,3,14.1155860050023
1562.8,10,9,4,120,-6,26.4,0,1,1,0,0,0,1,0,1,1,10.0006501979808
1541.6,6,5,6,100,3,22,3,3,5,5,3,6,8,3,7,5,19.5536705149323
1542.8,7,6,2,80,2,17.6,0,1,1,0,0,0,0,1,1,1,27.8677027909217
1559.2,6,5,6,90,-5,19.8,3,4,6,4,6,5,5,7,4,4,16.6650168259485
1546.8,6,5,6,90,-4,19.8,0,0,1,1,1,0,1,0,2,0,15.8527117537818
1558,6,5,6,100,4,22,8,8,5,5,4,4,4,2,3,5,22.4739380978511
1554.4,6,5,6,90,2,19.8,6,5,4,4,6,4,3,3,6,7,25.1739696619614
1535.6,7,6,2,100,-2,22,0,1,1,0,1,1,0,0,1,0,17.1555288260882
1546,6,5,6,80,4,17.6,5,6,2,4,5,6,5,6,3,6,27.0987363833958
1554.8,7,6,2,80,-8,17.6,0,0,0,2,0,1,0,0,2,0,14.2153757003956
1534.4,10,9,4,110,0,24.2,1,0,2,0,0,0,1,0,1,0,19.4357794681832
1538.4,6,5,6,90,-9,19.8,4,4,3,4,3,3,4,6,2,6,12.0734575512431
1541.6,7,6,2,80,0,17.6,0,1,1,0,0,0,0,1,1,1,27.3619816164056
